frame_index,timestamp_s,source_video,frame_path,blur_score,exposure_score,redundancy_score,composite_score,selected_automatically,override,selected
0,0.0,video_20260825_154043.mp4,preprocessing/candidates/frame_000000.jpg,0.224829,0.863748,0.229855,0.418012,True,NONE,True
4,0.133278,video_20260825_154043.mp4,preprocessing/candidates/frame_000004.jpg,0.067937,0.864116,0.153555,0.332476,False,NONE,False
8,0.266556,video_20260825_154043.mp4,preprocessing/candidates/frame_000008.jpg,0.133057,0.86458,0.040829,0.324846,False,NONE,False
12,0.399844,video_20260825_154043.mp4,preprocessing/candidates/frame_000012.jpg,0.143482,0.864555,0.037225,0.327927,False,NONE,False
16,0.533122,video_20260825_154043.mp4,preprocessing/candidates/frame_000016.jpg,0.156307,0.862911,0.121397,0.357815,False,NONE,False
20,0.6664,video_20260825_154043.mp4,preprocessing/candidates/frame_000020.jpg,0.131577,0.862491,0.180134,0.365418,False,NONE,False
24,0.799678,video_20260825_154043.mp4,preprocessing/candidates/frame_000024.jpg,0.11026,0.861412,0.1017,0.333037,False,NONE,False
28,0.932956,video_20260825_154043.mp4,preprocessing/candidates/frame_000028.jpg,0.15185,0.861307,0.034507,0.329484,False,NONE,False
32,1.066244,video_20260825_154043.mp4,preprocessing/candidates/frame_000032.jpg,0.142431,0.860217,0.0,0.315038,False,NONE,False
36,1.199522,video_20260825_154043.mp4,preprocessing/candidates/frame_000036.jpg,0.179053,0.860183,0.099834,0.359626,False,NONE,False
40,1.3328,video_20260825_154043.mp4,preprocessing/candidates/frame_000040.jpg,0.148398,0.860321,0.289888,0.404422,False,NONE,False
44,1.466078,video_20260825_154043.mp4,preprocessing/candidates/frame_000044.jpg,0.103178,0.861331,0.324585,0.397046,False,NONE,False
48,1.599356,video_20260825_154043.mp4,preprocessing/candidates/frame_000048.jpg,0.176829,0.86304,0.315845,0.424397,True,NONE,True
52,1.732644,video_20260825_154043.mp4,preprocessing/candidates/frame_000052.jpg,0.112561,0.863605,0.291808,0.391648,False,NONE,False
56,1.865922,video_20260825_154043.mp4,preprocessing/candidates/frame_000056.jpg,0.132498,0.865,0.322576,0.409272,False,NONE,False
60,1.9992,video_20260825_154043.mp4,preprocessing/candidates/frame_000060.jpg,0.085672,0.866035,0.388332,0.410579,True,NONE,True
64,2.132478,video_20260825_154043.mp4,preprocessing/candidates/frame_000064.jpg,0.086415,0.864609,0.357186,0.401105,False,NONE,False
68,2.265756,video_20260825_154043.mp4,preprocessing/candidates/frame_000068.jpg,0.028745,0.850081,0.35168,0.372026,False,NONE,False
72,2.399044,video_20260825_154043.mp4,preprocessing/candidates/frame_000072.jpg,0.134064,0.850466,0.398255,0.428242,True,NONE,True
76,2.532322,video_20260825_154043.mp4,preprocessing/candidates/frame_000076.jpg,0.114228,0.839544,0.404539,0.418916,True,NONE,True
80,2.6656,video_20260825_154043.mp4,preprocessing/candidates/frame_000080.jpg,0.039581,0.839935,0.416614,0.392797,False,NONE,False
84,2.798878,video_20260825_154043.mp4,preprocessing/candidates/frame_000084.jpg,0.000943,0.841462,0.392897,0.370685,False,NONE,False
88,2.932156,video_20260825_154043.mp4,preprocessing/candidates/frame_000088.jpg,0.0,0.844424,0.366458,0.363264,False,NONE,False
92,3.065444,video_20260825_154043.mp4,preprocessing/candidates/frame_000092.jpg,0.057958,0.844042,0.387469,0.392637,False,NONE,False
96,3.198722,video_20260825_154043.mp4,preprocessing/candidates/frame_000096.jpg,0.153098,0.840966,0.398469,0.433069,True,NONE,True
