timestamp_s,lat,lon,alt_m,alt_source,fix_quality,source_row
0.000,18.5204024,73.8566792,1.771,rel_alt,ok,0
0.100,18.5204022,73.8566787,1.858,rel_alt,ok,1
0.200,18.5204016,73.8566790,1.903,rel_alt,ok,2
0.300,18.5204023,73.8566793,1.931,rel_alt,ok,3
0.400,18.5204027,73.8566807,1.947,rel_alt,ok,4
0.500,18.5204035,73.8566815,2.044,rel_alt,ok,5
0.600,18.5204033,73.8566818,2.131,rel_alt,ok,6
0.700,18.5204037,73.8566812,2.209,rel_alt,ok,7
0.800,18.5204030,73.8566820,2.319,rel_alt,ok,8
0.900,18.5204029,73.8566826,2.337,rel_alt,ok,9
1.000,18.5204032,73.8566829,2.367,rel_alt,ok,10
1.100,18.5204023,73.8566832,2.415,rel_alt,ok,11
1.200,18.5204022,73.8566840,2.485,rel_alt,ok,12
1.300,18.5204033,73.8566853,2.558,rel_alt,ok,13
1.400,18.5204026,73.8566848,2.561,rel_alt,ok,14
1.500,18.5204032,73.8566848,2.582,rel_alt,ok,15
1.600,18.5204030,73.8566859,2.684,rel_alt,ok,16
1.700,18.5204025,73.8566862,2.699,rel_alt,ok,17
1.800,18.5204027,73.8566868,2.748,rel_alt,ok,18
1.900,18.5204025,73.8566859,2.811,rel_alt,ok,19
2.000,18.5204019,73.8566864,2.821,rel_alt,ok,20
2.100,18.5204032,73.8566866,2.881,rel_alt,ok,21
2.200,18.5204039,73.8566868,2.921,rel_alt,ok,22
2.300,18.5204035,73.8566865,2.964,rel_alt,ok,23
2.400,18.5204029,73.8566857,3.028,rel_alt,ok,24
2.500,18.5204019,73.8566866,3.077,rel_alt,ok,25
2.600,18.5204010,73.8566858,3.094,rel_alt,ok,26
2.700,18.5204007,73.8566846,3.162,rel_alt,ok,27
2.800,18.5204019,73.8566858,3.227,rel_alt,ok,28
2.900,18.5204013,73.8566847,3.214,rel_alt,ok,29
3.000,18.5204009,73.8566846,3.196,rel_alt,ok,30
3.100,18.5204023,73.8566838,3.208,rel_alt,ok,31
3.200,18.5204012,73.8566842,3.226,rel_alt,ok,32
3.300,18.5204017,73.8566836,3.291,rel_alt,ok,33
3.400,18.5204010,73.8566833,3.298,rel_alt,ok,34
3.500,18.5204016,73.8566843,3.301,rel_alt,ok,35
3.600,18.5204015,73.8566853,3.331,rel_alt,ok,36
3.700,18.5204007,73.8566855,3.335,rel_alt,ok,37
3.800,18.5204006,73.8566857,3.394,rel_alt,ok,38
3.900,18.5204006,73.8566869,3.371,rel_alt,ok,39
4.000,18.5204007,73.8566870,3.405,rel_alt,ok,40
4.100,18.5204019,73.8566862,3.360,rel_alt,ok,41
4.200,18.5204020,73.8566881,3.383,rel_alt,ok,42
4.300,18.5204025,73.8566893,3.342,rel_alt,ok,43
4.400,18.5204027,73.8566891,3.343,rel_alt,ok,44
4.500,18.5204039,73.8566890,3.347,rel_alt,ok,45
4.600,18.5204040,73.8566897,3.333,rel_alt,ok,46
4.700,18.5204037,73.8566901,3.261,rel_alt,ok,47
4.800,18.5204035,73.8566900,3.256,rel_alt,ok,48
4.900,18.5204021,73.8566899,3.247,rel_alt,ok,49
5.000,18.5204021,73.8566905,3.243,rel_alt,ok,50
5.100,18.5204013,73.8566904,3.198,rel_alt,ok,51
5.200,18.5204015,73.8566917,3.165,rel_alt,ok,52
5.300,18.5204022,73.8566916,3.091,rel_alt,ok,53
5.400,18.5204020,73.8566908,3.059,rel_alt,ok,54
5.500,18.5204017,73.8566916,3.034,rel_alt,ok,55
5.600,18.5204006,73.8566903,2.983,rel_alt,ok,56
5.700,18.5204008,73.8566911,2.933,rel_alt,ok,57
5.800,18.5204011,73.8566925,2.875,rel_alt,ok,58
5.900,18.5204007,73.8566928,2.827,rel_alt,ok,59
6.000,18.5204004,73.8566922,2.810,rel_alt,ok,60
6.100,18.5203983,73.8566923,2.767,rel_alt,ok,61
6.200,18.5203997,73.8566927,2.702,rel_alt,ok,62
6.300,18.5204002,73.8566938,2.680,rel_alt,ok,63
6.400,18.5204002,73.8566939,2.584,rel_alt,ok,64
6.500,18.5204005,73.8566930,2.526,rel_alt,ok,65
6.600,18.5204004,73.8566921,2.433,rel_alt,ok,66
6.700,18.5204004,73.8566917,2.402,rel_alt,ok,67
6.800,18.5204011,73.8566933,2.333,rel_alt,ok,68
6.900,18.5204023,73.8566939,2.279,rel_alt,ok,69
7.000,18.5204020,73.8566934,2.193,rel_alt,ok,70
7.100,18.5204014,73.8566943,2.197,rel_alt,ok,71
7.200,18.5204012,73.8566946,2.089,rel_alt,ok,72
7.300,18.5204013,73.8566958,1.980,rel_alt,ok,73
7.400,18.5204005,73.8566968,1.952,rel_alt,ok,74
7.500,18.5204010,73.8566967,1.861,rel_alt,ok,75
7.600,18.5204001,73.8566977,1.848,rel_alt,ok,76
7.700,18.5204002,73.8566983,1.770,rel_alt,ok,77
7.800,18.5203993,73.8566984,1.691,rel_alt,ok,78
7.900,18.5203992,73.8566994,1.612,rel_alt,ok,79
8.000,18.5203969,73.8566991,1.579,rel_alt,ok,80
8.100,18.5203969,73.8566998,1.519,rel_alt,ok,81
8.200,18.5203959,73.8566999,1.413,rel_alt,ok,82
8.300,18.5203955,73.8567012,1.380,rel_alt,ok,83
8.400,18.5203959,73.8567013,1.303,rel_alt,ok,84
8.500,18.5203956,73.8567000,1.261,rel_alt,ok,85
8.600,18.5203971,73.8567001,1.238,rel_alt,ok,86
8.700,18.5203982,73.8567000,1.182,rel_alt,ok,87
8.800,18.5203969,73.8566996,1.137,rel_alt,ok,88
8.900,18.5203970,73.8566993,1.105,rel_alt,ok,89
9.000,18.5203968,73.8566986,1.083,rel_alt,ok,90
9.100,18.5203967,73.8566980,0.975,rel_alt,ok,91
9.200,18.5203975,73.8566981,0.943,rel_alt,ok,92
9.300,18.5203994,73.8566980,0.855,rel_alt,ok,93
9.400,18.5203988,73.8566983,0.820,rel_alt,ok,94
9.500,18.5203981,73.8566988,0.768,rel_alt,ok,95
9.600,18.5203970,73.8566985,0.703,rel_alt,ok,96
9.700,18.5203974,73.8566985,0.659,rel_alt,ok,97
9.800,18.5203984,73.8566992,0.612,rel_alt,ok,98
9.900,18.5203990,73.8567002,0.609,rel_alt,ok,99
10.000,18.5203979,73.8567008,0.565,rel_alt,ok,100
10.100,18.5203976,73.8567005,0.520,rel_alt,ok,101
10.200,18.5203975,73.8567008,0.434,rel_alt,ok,102
10.300,18.5203974,73.8567008,0.415,rel_alt,ok,103
10.400,18.5203967,73.8566999,0.345,rel_alt,ok,104
10.500,18.5203963,73.8567008,0.287,rel_alt,ok,105
10.600,18.5203961,73.8567015,0.270,rel_alt,ok,106
10.700,18.5203950,73.8567021,0.243,rel_alt,ok,107
10.800,18.5203953,73.8567020,0.249,rel_alt,ok,108
10.900,18.5203938,73.8567009,0.240,rel_alt,ok,109
11.000,18.5203939,73.8567011,0.257,rel_alt,ok,110
11.100,18.5203934,73.8567003,0.214,rel_alt,ok,111
11.200,18.5203935,73.8567011,0.211,rel_alt,ok,112
11.300,18.5203946,73.8567013,0.167,rel_alt,ok,113
11.400,18.5203957,73.8567011,0.117,rel_alt,ok,114
11.500,18.5203962,73.8567014,0.083,rel_alt,ok,115
11.600,18.5203955,73.8567024,0.087,rel_alt,ok,116
11.700,18.5203954,73.8567019,0.060,rel_alt,ok,117
11.800,18.5203959,73.8567023,0.068,rel_alt,ok,118
11.900,18.5203965,73.8567031,0.097,rel_alt,ok,119
12.000,18.5203977,73.8567042,0.085,rel_alt,ok,120
12.100,18.5203984,73.8567034,0.114,rel_alt,ok,121
12.200,18.5203981,73.8567033,0.102,rel_alt,ok,122
12.300,18.5203981,73.8567029,0.067,rel_alt,ok,123
12.400,18.5203969,73.8567036,0.110,rel_alt,ok,124
12.500,18.5203970,73.8567053,0.068,rel_alt,ok,125
12.600,18.5203956,73.8567061,0.012,rel_alt,ok,126
12.700,18.5203945,73.8567055,0.001,rel_alt,ok,127
12.800,18.5203935,73.8567054,0.030,rel_alt,ok,128
12.900,18.5203937,73.8567063,0.040,rel_alt,ok,129
13.000,18.5203943,73.8567071,0.004,rel_alt,ok,130
13.100,18.5203946,73.8567071,0.022,rel_alt,ok,131
13.200,18.5203941,73.8567059,0.098,rel_alt,ok,132
13.300,18.5203926,73.8567058,0.141,rel_alt,ok,133
13.400,18.5203930,73.8567068,0.213,rel_alt,ok,134
13.500,18.5203935,73.8567072,0.227,rel_alt,ok,135
13.600,18.5203936,73.8567070,0.278,rel_alt,ok,136
13.700,18.5203942,73.8567068,0.335,rel_alt,ok,137
13.800,18.5203958,73.8567072,0.413,rel_alt,ok,138
13.900,18.5203946,73.8567070,0.419,rel_alt,ok,139
14.000,18.5203943,73.8567059,0.458,rel_alt,ok,140
14.100,18.5203938,73.8567068,0.482,rel_alt,ok,141
14.200,18.5203929,73.8567077,0.538,rel_alt,ok,142
14.300,18.5203920,73.8567087,0.540,rel_alt,ok,143
14.400,18.5203927,73.8567083,0.553,rel_alt,ok,144
14.500,18.5203930,73.8567088,0.576,rel_alt,ok,145
14.600,18.5203933,73.8567089,0.645,rel_alt,ok,146
