timestamp_s,latitude,longitude,altitude(m),heading_deg
0.000,18.5204024,73.8566792,1.771,90.0
0.100,18.5204022,73.8566787,1.858,90.0
0.200,18.5204016,73.8566790,1.903,90.0
0.300,18.5204023,73.8566793,1.931,90.0
0.400,18.5204027,73.8566807,1.947,90.0
0.500,18.5204035,73.8566815,2.044,90.0
0.600,18.5204033,73.8566818,2.131,90.0
0.700,18.5204037,73.8566812,2.209,90.0
0.800,18.5204030,73.8566820,2.319,90.0
0.900,18.5204029,73.8566826,2.337,90.0
1.000,18.5204032,73.8566829,2.367,90.0
1.100,18.5204023,73.8566832,2.415,90.0
1.200,18.5204022,73.8566840,2.485,90.0
1.300,18.5204033,73.8566853,2.558,90.0
1.400,18.5204026,73.8566848,2.561,90.0
1.500,18.5204032,73.8566848,2.582,90.0
1.600,18.5204030,73.8566859,2.684,90.0
1.700,18.5204025,73.8566862,2.699,90.0
1.800,18.5204027,73.8566868,2.748,90.0
1.900,18.5204025,73.8566859,2.811,90.0
2.000,18.5204019,73.8566864,2.821,90.0
2.100,18.5204032,73.8566866,2.881,90.0
2.200,18.5204039,73.8566868,2.921,90.0
2.300,18.5204035,73.8566865,2.964,90.0
2.400,18.5204029,73.8566857,3.028,90.0
2.500,18.5204019,73.8566866,3.077,90.0
2.600,18.5204010,73.8566858,3.094,90.0
2.700,18.5204007,73.8566846,3.162,90.0
2.800,18.5204019,73.8566858,3.227,90.0
2.900,18.5204013,73.8566847,3.214,90.0
3.000,18.5204009,73.8566846,3.196,90.0
3.100,18.5204023,73.8566838,3.208,90.0
3.200,18.5204012,73.8566842,3.226,90.0
3.300,18.5204017,73.8566836,3.291,90.0
3.400,18.5204010,73.8566833,3.298,90.0
3.500,18.5204016,73.8566843,3.301,90.0
3.600,18.5204015,73.8566853,3.331,90.0
3.700,18.5204007,73.8566855,3.335,90.0
3.800,18.5204006,73.8566857,3.394,90.0
3.900,18.5204006,73.8566869,3.371,90.0
4.000,18.5204007,73.8566870,3.405,90.0
4.100,18.5204019,73.8566862,3.360,90.0
4.200,18.5204020,73.8566881,3.383,90.0
4.300,18.5204025,73.8566893,3.342,90.0
4.400,18.5204027,73.8566891,3.343,90.0
4.500,18.5204039,73.8566890,3.347,90.0
4.600,18.5204040,73.8566897,3.333,90.0
4.700,18.5204037,73.8566901,3.261,90.0
4.800,18.5204035,73.8566900,3.256,90.0
4.900,18.5204021,73.8566899,3.247,90.0
5.000,18.5204021,73.8566905,3.243,90.0
5.100,18.5204013,73.8566904,3.198,90.0
5.200,18.5204015,73.8566917,3.165,90.0
5.300,18.5204022,73.8566916,3.091,90.0
5.400,18.5204020,73.8566908,3.059,90.0
5.500,18.5204017,73.8566916,3.034,90.0
5.600,18.5204006,73.8566903,2.983,90.0
5.700,18.5204008,73.8566911,2.933,90.0
5.800,18.5204011,73.8566925,2.875,90.0
5.900,18.5204007,73.8566928,2.827,90.0
6.000,18.5204004,73.8566922,2.810,90.0
6.100,18.5203983,73.8566923,2.767,90.0
6.200,18.5203997,73.8566927,2.702,90.0
6.300,18.5204002,73.8566938,2.680,90.0
6.400,18.5204002,73.8566939,2.584,90.0
6.500,18.5204005,73.8566930,2.526,90.0
6.600,18.5204004,73.8566921,2.433,90.0
6.700,18.5204004,73.8566917,2.402,90.0
6.800,18.5204011,73.8566933,2.333,90.0
6.900,18.5204023,73.8566939,2.279,90.0
7.000,18.5204020,73.8566934,2.193,90.0
7.100,18.5204014,73.8566943,2.197,90.0
7.200,18.5204012,73.8566946,2.089,90.0
7.300,18.5204013,73.8566958,1.980,90.0
7.400,18.5204005,73.8566968,1.952,90.0
7.500,18.5204010,73.8566967,1.861,90.0
7.600,18.5204001,73.8566977,1.848,90.0
7.700,18.5204002,73.8566983,1.770,90.0
7.800,18.5203993,73.8566984,1.691,90.0
7.900,18.5203992,73.8566994,1.612,90.0
8.000,18.5203969,73.8566991,1.579,90.0
8.100,18.5203969,73.8566998,1.519,90.0
8.200,18.5203959,73.8566999,1.413,90.0
8.300,18.5203955,73.8567012,1.380,90.0
8.400,18.5203959,73.8567013,1.303,90.0
8.500,18.5203956,73.8567000,1.261,90.0
8.600,18.5203971,73.8567001,1.238,90.0
8.700,18.5203982,73.8567000,1.182,90.0
8.800,18.5203969,73.8566996,1.137,90.0
8.900,18.5203970,73.8566993,1.105,90.0
9.000,18.5203968,73.8566986,1.083,90.0
9.100,18.5203967,73.8566980,0.975,90.0
9.200,18.5203975,73.8566981,0.943,90.0
9.300,18.5203994,73.8566980,0.855,90.0
9.400,18.5203988,73.8566983,0.820,90.0
